"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"362","8684-3",1449254707259,2,"subSuperTrial","distr22","minivan","target",3,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass2",2,4,NA,"vehicle","train","distrClass2",4,3,NA,"vehicle",1,1,0,"the white one","","1449254705232","the white one","False","False","False","minivan",NA,NA,"","","","",""
"365","8684-3",1449254735745,5,"subSuperTrial","distr12","dressShirt","target",3,2,"shirt","clothing","bathrobe","distrClass2",4,4,NA,"clothing","campShirt","distrClass1",2,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"the dressiest one","","1449254732310","the dressiest one","False","False","False","dressShirt",NA,NA,"","","","",""
"366","8684-3",1449254745186,6,"subSuperTrial","distr33","coffeeTable","target",3,4,"table","furniture","motorcycle","distrClass3",2,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"kitten","distrClass3",4,3,NA,"animal",1,1,0,"furniture","","1449254743573","furniture","False","False","False","coffeeTable",NA,NA,"","","","",""
"367","8684-3",1449254752027,7,"subSuperTrial","distr22","hummingBird","target",3,4,"bird","animal","blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass2",2,2,NA,"animal","snake","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"flies","","1449254749880","flies","False","False","False","hummingBird",NA,NA,"","","","",""
"369","8684-3",1449254787355,9,"subSuperTrial","distr33","suv","target",4,4,"car","vehicle","snake","distrClass3",3,3,NA,"animal","cookies","distrClass3",2,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"the vehicle","","1449254781757","the vehicle","False","False","False","suv",NA,NA,"","","","",""
"370","8684-3",1449254800419,10,"subSuperTrial","distr23","tShirt","target",2,4,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"socks","distrClass2",3,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"kitten","distrClass3",4,3,NA,"animal",1,1,0,"has 2 sleeves","","1449254798724","has 2 sleeves","False","False","False","tShirt",NA,NA,"","","","",""
"376","8684-3",1449254847497,16,"subSuperTrial","distr33","blackBear","target",3,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"ivy","distrClass3",2,2,NA,"plant","cookies","distrClass3",4,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"animal","","1449254846194","animal","False","False","False","blackBear",NA,NA,"","","","",""
"377","8684-3",1449254861250,17,"subSuperTrial","distr12","swordFish","target",3,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"discusFish","distrClass1",4,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass2",2,2,NA,"animal",1,1,0,"swims and has long nose","","1449254859157","swims and has long nose","False","False","False","swordFish",NA,NA,"","","","",""
"378","8684-3",1449254868605,18,"subSuperTrial","distr33","husky","target",4,2,"dog","animal","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass3",3,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass3",2,3,NA,"vehicle",1,1,0,"animal","","1449254865282","animal","False","False","False","husky",NA,NA,"","","","",""
"379","8684-3",1449254876610,19,"subSuperTrial","distr22","diningTable","target",2,2,"table","furniture","wardrobe","distrClass2",4,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"lamp","distrClass2",3,3,NA,"furniture",1,1,0,"4 legs","","1449254874826","4 legs","False","False","False","diningTable",NA,NA,"","","","",""
"381","8684-3",1449254906438,21,"subSuperTrial","distr12","clownFish","target",2,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","blackStimulus",NA,5,5,NA,NA,"horse","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"has a white stripe behind face","","1449254903584","has a white stripe behind face","False","False","False","clownFish",NA,NA,"","","","",""
"382","8684-3",1449254913852,22,"subSuperTrial","distr33","rose","target",4,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"bison","distrClass3",3,3,NA,"animal","chick","distrClass3",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"flower","","1449254912126","flower","False","False","False","rose",NA,NA,"","","","",""
"383","8684-3",1449254928944,23,"subSuperTrial","distr12","bedsideTable","target",3,2,"table","furniture","blackStimulus",NA,5,5,NA,NA,"sideTable","distrClass1",4,3,"table","furniture","wardrobe","distrClass2",2,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"has 2 drawers","","1449254926971","has 2 drawers","False","False","False","bedsideTable",NA,NA,"","","","",""
"384","8684-3",1449254944450,24,"subSuperTrial","distr23","grizzlyBear","target",4,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"horse","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"firetruck","distrClass3",3,4,NA,"vehicle",2,1,1,"big and furry"," eats fish","I'm sleepy","1449254940411___1449254941870","big and furry"," eats fish","False","False","False","grizzlyBear",NA,NA,"","",""
"385","8684-3",1449254954917,25,"subSuperTrial","distr23","hawaiiShirt","target",4,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"bison","distrClass3",3,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"bathrobe","distrClass2",2,4,NA,"clothing",1,1,0,"hawaiian","","1449254953089","hawaiian","False","False","False","hawaiiShirt",NA,NA,"","","","",""
"388","8684-3",1449254987283,28,"subSuperTrial","distr22","sportsCar","target",3,2,"car","vehicle","train","distrClass2",2,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass2",4,3,NA,"vehicle",1,1,0,"sports car","","1449254980777","sports car","False","False","False","sportsCar",NA,NA,"","","","",""
"394","8684-3",1449255037814,34,"subSuperTrial","distr23","mnMs","target",3,4,"candy","snack","sheep","distrClass3",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",2,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"candy","","1449255034454","candy","False","False","False","mnMs",NA,NA,"","","","",""
"396","8684-3",1449255051834,36,"subSuperTrial","distr23","tulip","target",3,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",4,3,NA,"plant","horse","distrClass3",2,2,NA,"animal",1,1,0,"red","","1449255048774","red","False","False","False","tulip",NA,NA,"","","","",""
"397","8684-3",1449255063266,37,"subSuperTrial","distr33","convertible","target",3,2,"car","vehicle","grasses","distrClass3",4,4,NA,"plant","squirrel","distrClass3",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"can drive it","","1449255059233","can drive it","False","False","False","convertible",NA,NA,"","","","",""
"399","8684-3",1449255086368,39,"subSuperTrial","distr23","gummyBears","target",4,3,"candy","snack","blackStimulus",NA,1,1,NA,NA,"horse","distrClass3",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",2,4,NA,"snack",3,2,1,"candy___gummi","this food is making me hungry. ","1449255075005___1449255084081___1449255085226","candy","False","False","False","gummyBears",NA,NA,"","","","",""
"400","8684-3",1449255094349,40,"subSuperTrial","distr22","goldFish","target",4,4,"fish","animal","sheep","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,2,2,0,"me too___swims","","1449255088649___1449255091801","me too","False","False","False","goldFish",NA,NA,"","","","",""
"402","8684-3",1449255117386,42,"subSuperTrial","distr12","pigeon","target",3,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"sparrow","distrClass1",4,2,"bird","animal","iguana","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"flies and white/grey","","1449255114642","flies and white/grey","False","False","False","pigeon",NA,NA,"","","","",""
"404","8684-3",1449255137580,44,"subSuperTrial","distr12","picnicTable","target",4,3,"table","furniture","sideTable","distrClass1",2,4,"table","furniture","blackStimulus",NA,1,1,NA,NA,"bed","distrClass2",3,2,NA,"furniture","blackStimulus",NA,5,5,NA,NA,1,1,0,"can sit and eat at it","","1449255135374","can sit and eat at it","False","False","False","picnicTable",NA,NA,"","","","",""
"407","8684-3",1449255156071,47,"subSuperTrial","distr22","parrot","target",2,4,"bird","animal","rabbit","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"lion","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"flies","","1449255154496","flies","False","False","False","parrot",NA,NA,"","","","",""
"411","8684-3",1449255182551,51,"subSuperTrial","distr33","dalmatian","target",2,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"chips","distrClass3",4,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"wardrobe","distrClass3",3,2,NA,"furniture",1,1,0,"barks","","1449255180971","barks","False","False","False","dalmatian",NA,NA,"","","","",""
"412","8684-3",1449255197119,52,"subSuperTrial","distr23","skittles","target",2,3,"candy","snack","pretzels","distrClass2",3,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"dress","distrClass3",4,4,NA,"clothing",2,2,0,"more candy___sweet","","1449255190097___1449255193313","more candy","False","False","False","skittles",NA,NA,"","","","",""
"418","8684-3",1449255247341,58,"subSuperTrial","distr12","daisy","target",3,2,"flower","plant","lily","distrClass1",4,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",2,4,NA,"plant",1,1,0,"has yellow in middle","","1449255244965","has yellow in middle","False","False","False","daisy",NA,NA,"","","","",""
"420","8684-3",1449255258384,60,"subSuperTrial","distr22","catfish","target",4,3,"fish","animal","cow","distrClass2",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"kitten","distrClass2",2,4,NA,"animal",1,1,0,"swims","","1449255256617","swims","False","False","False","catfish",NA,NA,"","","","",""
"421","8684-3",1449255265501,61,"subSuperTrial","distr22","poloShirt","target",2,4,"shirt","clothing","bathrobe","distrClass2",4,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"dress","distrClass2",3,3,NA,"clothing",1,1,0,"mens","","1449255263738","mens","False","False","False","poloShirt",NA,NA,"","","","",""
"423","8684-3",1449255278783,63,"subSuperTrial","distr22","jellyBeans","target",3,2,"candy","snack","blackStimulus",NA,1,1,NA,NA,"chips","distrClass2",4,4,NA,"snack","cookies","distrClass2",2,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"sweet","","1449255277617","sweet","False","False","False","jellyBeans",NA,NA,"","","","",""
"425","8684-3",1449255291956,65,"subSuperTrial","distr33","polarBear","target",2,4,"bear","animal","train","distrClass3",4,3,NA,"vehicle","pretzels","distrClass3",3,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"big and furry","","1449255290578","big and furry","False","False","False","polarBear",NA,NA,"","","","",""
"426","8684-3",1449255302172,66,"subSuperTrial","distr23","germanShepherd","target",2,2,"dog","animal","motorcycle","distrClass3",4,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"rhino","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"barks","","1449255300521","barks","False","False","False","germanShepherd",NA,NA,"","","","",""
"428","8684-3",1449255314661,68,"subSuperTrial","distr12","sunflower","target",4,3,"flower","plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"lily","distrClass1",2,2,"flower","plant","ivy","distrClass2",3,4,NA,"plant",1,1,0,"yellow","","1449255313361","yellow","False","False","False","sunflower",NA,NA,"","","","",""
"431","8684-3",1449255347447,71,"subSuperTrial","distr33","eagle","target",3,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"grasses","distrClass3",2,4,NA,"plant","socks","distrClass3",4,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"flies","","1449255346048","flies","False","False","False","eagle",NA,NA,"","","","",""
"434","5628-2",1449254772641,2,"subSuperTrial","distr23","sportsCar","target",4,2,"car","vehicle","sheep","distrClass3",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"ambulance","distrClass2",3,4,NA,"vehicle",1,1,0,"audi","","1449254770658","audi","False","False","False","sportsCar",NA,NA,"","","","",""
"435","5628-2",1449254778772,3,"subSuperTrial","distr33","hummingBird","target",3,4,"bird","animal","pretzels","distrClass3",2,2,NA,"snack","pretzels","distrClass3",4,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"bird","","1449254775986","bird","False","False","False","hummingBird",NA,NA,"","","","",""
"436","5628-2",1449254783201,4,"subSuperTrial","distr22","blackBear","target",2,4,"bear","animal","iguana","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1449254782070","bear","False","False","False","blackBear",NA,NA,"","","","",""
"438","5628-2",1449254795989,6,"subSuperTrial","distr23","germanShepherd","target",3,3,"dog","animal","blackStimulus",NA,5,5,NA,NA,"lamp","distrClass3",2,2,NA,"furniture","iguana","distrClass2",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"doggie","","1449254794530","doggie","False","False","False","germanShepherd",NA,NA,"","","","",""
"441","5628-2",1449254811557,9,"subSuperTrial","distr22","eagle","target",2,4,"bird","animal","lion","distrClass2",3,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"iguana","distrClass2",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"eagle","","1449254810235","eagle","False","False","True","eagle",NA,NA,"","","","",""
"442","5628-2",1449254817116,10,"subSuperTrial","distr22","skittles","target",4,3,"candy","snack","pretzels","distrClass2",2,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"chips","distrClass2",3,4,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"skittles","","1449254815605","skittles","False","False","True","skittles",NA,NA,"","","","",""
"443","5628-2",1449254823298,11,"subSuperTrial","distr12","polarBear","target",3,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",2,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",4,2,NA,"animal",1,1,0,"polar bear","","1449254822030","polar bear","False","False","False","polarBear",NA,NA,"","","","",""
"444","5628-2",1449254831950,12,"subSuperTrial","distr12","husky","target",2,2,"dog","animal","lobster","distrClass2",4,3,NA,"animal","greyhound","distrClass1",3,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"thick dog","","1449254829232","thick dog","False","False","False","husky",NA,NA,"","","","",""
"449","5628-2",1449254873050,17,"subSuperTrial","distr22","bedsideTable","target",2,2,"table","furniture","blackStimulus",NA,5,5,NA,NA,"wardrobe","distrClass2",4,4,NA,"furniture","bookcase","distrClass2",3,3,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"drawers","","1449254870414","drawers","False","False","False","bedsideTable",NA,NA,"","","","",""
"456","5628-2",1449254911729,24,"subSuperTrial","distr12","convertible","target",4,4,"car","vehicle","motorcycle","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",3,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"convertible","","1449254910395","convertible","False","False","True","convertible",NA,NA,"","","","",""
"457","5628-2",1449254917454,25,"subSuperTrial","distr23","jellyBeans","target",3,2,"candy","snack","cookies","distrClass2",2,4,NA,"snack","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"jellybeans","","1449254916237","jellybeans","False","False","False","jellyBeans",NA,NA,"","","","",""
"461","5628-2",1449254938713,29,"subSuperTrial","distr33","gummyBears","target",4,4,"candy","snack","firetruck","distrClass3",3,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"chick","distrClass3",2,3,NA,"animal",1,1,0,"gummi bear","","1449254937196","gummi bear","False","False","False","gummyBears",NA,NA,"","","","",""
"462","5628-2",1449254943419,30,"subSuperTrial","distr23","swordFish","target",4,4,"fish","animal","cookies","distrClass3",3,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,"rhino","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"marlin","","1449254942061","marlin","False","False","False","swordFish",NA,NA,"","","","",""
"465","5628-2",1449254961433,33,"subSuperTrial","distr12","sunflower","target",3,2,"flower","plant","lily","distrClass1",4,3,"flower","plant","grasses","distrClass2",2,4,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"yellow","","1449254959715","yellow","False","False","False","sunflower",NA,NA,"","","","",""
"467","5628-2",1449254973833,35,"subSuperTrial","distr23","hawaiiShirt","target",2,2,"shirt","clothing","lamp","distrClass3",3,4,NA,"furniture","bathrobe","distrClass2",4,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"shirt","","1449254970880","shirt","False","False","False","hawaiiShirt",NA,NA,"","","","",""
"468","5628-2",1449254981118,36,"subSuperTrial","distr12","goldFish","target",2,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"kitten","distrClass2",4,3,NA,"animal","discusFish","distrClass1",3,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"goldfish","","1449254979408","goldfish","False","False","False","goldFish",NA,NA,"","","","",""
"471","5628-2",1449254994613,39,"subSuperTrial","distr33","tShirt","target",2,3,"shirt","clothing","kitten","distrClass3",4,2,NA,"animal","rosemary","distrClass3",3,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"blue","","1449254993221","blue","False","False","False","tShirt",NA,NA,"","","","",""
"472","5628-2",1449254998861,40,"subSuperTrial","distr12","grizzlyBear","target",3,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",4,3,"bear","animal",1,1,0,"bear","","1449254997387","bear","False","False","False","grizzlyBear",NA,NA,"","","","",""
"473","5628-2",1449255002943,41,"subSuperTrial","distr23","coffeeTable","target",2,4,"table","furniture","blackStimulus",NA,1,1,NA,NA,"crocodile","distrClass3",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"lamp","distrClass2",3,3,NA,"furniture",1,1,0,"table","","1449255001714","table","False","False","False","coffeeTable",NA,NA,"","","","",""
"474","5628-2",1449255007049,42,"subSuperTrial","distr22","pug","target",3,3,"dog","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"crocodile","distrClass2",4,4,NA,"animal","bison","distrClass2",2,2,NA,"animal",1,1,0,"dog","","1449255005940","dog","False","False","False","pug",NA,NA,"","","","",""
"475","5628-2",1449255011149,43,"subSuperTrial","distr22","pigeon","target",3,3,"bird","animal","rhino","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",4,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bird","","1449255009889","bird","False","False","False","pigeon",NA,NA,"","","","",""
"476","5628-2",1449255015205,44,"subSuperTrial","distr23","dressShirt","target",3,2,"shirt","clothing","gloves","distrClass2",2,4,NA,"clothing","pretzels","distrClass3",4,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"shirt","","1449255013927","shirt","False","False","False","dressShirt",NA,NA,"","","","",""
"481","5628-2",1449255040149,49,"subSuperTrial","distr12","minivan","target",3,2,"car","vehicle","sedan","distrClass1",4,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass2",2,3,NA,"vehicle",1,1,0,"van","","1449255038381","van","False","False","False","minivan",NA,NA,"","","","",""
"483","5628-2",1449255053716,51,"subSuperTrial","distr33","diningTable","target",2,2,"table","furniture","socks","distrClass3",4,4,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"snake","distrClass3",3,3,NA,"animal",1,1,0,"table","","1449255051607","table","False","False","False","diningTable",NA,NA,"","","","",""
"484","5628-2",1449255058276,52,"subSuperTrial","distr23","tulip","target",3,3,"flower","plant","grasses","distrClass2",4,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"wardrobe","distrClass3",2,4,NA,"furniture",1,1,0,"flower","","1449255057068","flower","False","False","False","tulip",NA,NA,"","","","",""
"489","5628-2",1449255081046,57,"subSuperTrial","distr23","parrot","target",4,4,"bird","animal","rosemary","distrClass3",2,2,NA,"plant","pig","distrClass2",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"bird","","1449255079770","bird","False","False","False","parrot",NA,NA,"","","","",""
"490","5628-2",1449255084803,58,"subSuperTrial","distr33","suv","target",3,2,"car","vehicle","bathrobe","distrClass3",2,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sheep","distrClass3",4,4,NA,"animal",1,1,0,"car","","1449255083504","car","False","False","False","suv",NA,NA,"","","","",""
"491","5628-2",1449255089433,59,"subSuperTrial","distr33","mnMs","target",4,2,"candy","snack","chick","distrClass3",2,3,NA,"animal","rhino","distrClass3",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"candy","","1449255087936","candy","False","False","False","mnMs",NA,NA,"","","","",""
"492","5628-2",1449255093815,60,"subSuperTrial","distr22","dalmatian","target",2,4,"dog","animal","lobster","distrClass2",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",4,3,NA,"animal",1,1,0,"dog","","1449255092364","dog","False","False","False","dalmatian",NA,NA,"","","","",""
"494","5628-2",1449255104967,62,"subSuperTrial","distr33","catfish","target",4,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass3",3,4,NA,"plant","wardrobe","distrClass3",2,2,NA,"furniture",1,1,0,"fish","","1449255103371","fish","False","False","False","catfish",NA,NA,"","","","",""
"497","5628-2",1449255119513,65,"subSuperTrial","distr22","daisy","target",2,3,"flower","plant","ivy","distrClass2",3,4,NA,"plant","pottedPlant","distrClass2",4,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"flower","","1449255118328","flower","False","False","False","daisy",NA,NA,"","","","",""
"498","5628-2",1449255124025,66,"subSuperTrial","distr33","picnicTable","target",2,2,"table","furniture","blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass3",3,4,NA,"animal","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"table","","1449255122570","table","False","False","False","picnicTable",NA,NA,"","","","",""
"500","5628-2",1449255131722,68,"subSuperTrial","distr22","rose","target",3,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",4,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",2,2,NA,"plant",1,1,0,"rose","","1449255130647","rose","False","False","True","rose",NA,NA,"","","","",""
"502","5628-2",1449255141505,70,"subSuperTrial","distr12","pandaBear","target",3,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",2,4,"bear","animal","kitten","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"bear","","1449255139988","bear","False","False","False","pandaBear",NA,NA,"","","","",""
"504","5628-2",1449255149688,72,"subSuperTrial","distr33","poloShirt","target",2,3,"shirt","clothing","crocodile","distrClass3",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"ivy","distrClass3",4,2,NA,"plant",1,1,0,"shirt","","1449255148195","shirt","False","False","False","poloShirt",NA,NA,"","","","",""
"505","8430-f",1449255078656,1,"subSuperTrial","distr12","pandaBear","target",4,4,"bear","animal","koalaBear","distrClass1",2,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"panda","","1449255074921","panda","False","False","False","pandaBear",NA,NA,"","","","",""
"506","8430-f",1449255085425,2,"subSuperTrial","distr23","dressShirt","target",3,2,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"horse","distrClass3",4,3,NA,"animal","bathrobe","distrClass2",2,4,NA,"clothing",1,1,0,"blue shirt","","1449255083082","blue shirt","False","False","False","dressShirt",NA,NA,"","","","",""
"508","8430-f",1449255097482,4,"subSuperTrial","distr33","convertible","target",4,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"grasses","distrClass3",2,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,"iguana","distrClass3",3,4,NA,"animal",1,1,0,"car","","1449255095025","car","False","False","False","convertible",NA,NA,"","","","",""
"509","8430-f",1449255101921,5,"subSuperTrial","distr23","grizzlyBear","target",3,4,"bear","animal","gloves","distrClass3",4,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"snake","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1449255100179","bear","False","False","False","grizzlyBear",NA,NA,"","","","",""
"511","8430-f",1449255113913,7,"subSuperTrial","distr12","jellyBeans","target",4,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"candyCorn","distrClass1",3,3,"candy","snack","popcorn","distrClass2",2,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"jelly beans","","1449255112149","jelly beans","False","False","False","jellyBeans",NA,NA,"","","","",""
"513","8430-f",1449255122944,9,"subSuperTrial","distr23","tulip","target",2,4,"flower","plant","rosemary","distrClass2",3,2,NA,"plant","lamp","distrClass3",4,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"rose","","1449255121518","rose","False","False","False","tulip",NA,NA,"","","","",""
