"","X.1","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","typeAttributeMentioned","noAttrOrLevelMentioned","noLevelMentioned","basiclevelAttributeMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"515",602,"8430-f",1.45e+12,5,"subSuperTrial","distr23","grizzlyBear","target",3,4,"bear","animal","gloves","distrClass3",4,3,NA,"clothing","snake","distrClass2",2,2,NA,"animal",1,1,0,"bear","","1450000000000","bear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"grizzlyBear",NA,NA,NA,NA,NA,""
"517",605,"5239-5",1.45e+12,63,"subSuperTrial","distr23","suv","target",3,4,"car","vehicle","squirrel","distrClass3",4,2,NA,"animal","train","distrClass2",2,3,NA,"vehicle",1,1,0,"car","","1450000000000","car",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"suv",NA,NA,NA,NA,NA,""
"518",606,"3695-5",1.45e+12,44,"subSuperTrial","distr23","swordFish","target",4,4,"fish","animal","lion","distrClass2",2,2,NA,"animal","train","distrClass3",3,3,NA,"vehicle",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"swordFish",NA,NA,NA,NA,NA,""
"519",607,"5512-7",1.45e+12,58,"subSuperTrial","distr23","convertible","target",2,4,"car","vehicle","pottedPlant","distrClass3",3,3,NA,"plant","train","distrClass2",4,2,NA,"vehicle",1,1,0,"car","","1450000000000","car",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"convertible",NA,NA,NA,NA,NA,""
"520",608,"0198-d",1.45e+12,64,"subSuperTrial","distr23","eagle","target",2,3,"bird","animal","rabbit","distrClass2",3,4,NA,"animal","train","distrClass3",4,2,NA,"vehicle",1,1,0,"eagle","","1450000000000","eagle",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"eagle",NA,NA,NA,NA,NA,""
"521",609,"8286-0",1.45e+12,41,"subSuperTrial","distr23","picnicTable","target",4,3,"table","furniture","ivy","distrClass3",2,2,NA,"plant","wardrobe","distrClass2",3,4,NA,"furniture",1,1,0,"table","","1450000000000","table",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"picnicTable",NA,NA,NA,NA,NA,""
"522",610,"8258-f",1.45e+12,38,"subSuperTrial","distr23","picnicTable","target",3,4,"table","furniture","crocodile","distrClass3",4,2,NA,"animal","wardrobe","distrClass2",2,3,NA,"furniture",1,1,0,"table","","1450000000000","table",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"picnicTable",NA,NA,NA,NA,NA,""
"523",611,"5239-5",1.45e+12,72,"subSuperTrial","distr23","poloShirt","target",3,3,"shirt","clothing","bathrobe","distrClass2",2,2,NA,"clothing","bookcase","distrClass3",4,4,NA,"furniture",1,1,0,"blue shirt","","1450000000000","blue shirt",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"poloShirt",NA,NA,NA,NA,NA,""
"524",612,"1223-7",1.45e+12,17,"subSuperTrial","distr23","bedsideTable","target",3,2,"table","furniture","bison","distrClass3",4,3,NA,"animal","bookcase","distrClass2",2,4,NA,"furniture",1,1,0,"nightstand","","1450000000000","nightstand",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"bedsideTable",NA,NA,NA,NA,NA,""
"525",613,"5239-5",1.45e+12,10,"subSuperTrial","distr23","picnicTable","target",4,4,"table","furniture","cookies","distrClass3",2,2,NA,"snack","bookcase","distrClass2",3,3,NA,"furniture",1,1,0,"picnic table","","1450000000000","picnic table",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"picnicTable",NA,NA,NA,NA,NA,""
"526",614,"9551-7",1.45e+12,11,"subSuperTrial","distr23","clownFish","target",4,3,"fish","animal","kitten","distrClass2",3,4,NA,"animal","bookcase","distrClass3",2,2,NA,"furniture",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"clownFish",NA,NA,NA,NA,NA,""
