condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,freq_sub,freq_sub_label,freq_basic,freq_basic_label,freq_super,freq_super_label,p_s_sub,p_s_basic,p_s_super
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.6284809707,0.3637732164,0.0077458129
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.576329124,0.3490617263,0.0746091497
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.9118925097,0.0852794192,0.0028280711
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.586968499,0.4119458732,0.0010856277
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.572758416,0.4201825326,0.0070590515
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.5271205272,0.4046406615,0.0682388113
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.9644442122,0.0245807353,0.0109750525
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.8346864679,0.1596488918,0.0056646403
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.8031125687,0.1605684116,0.0363190197
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.5937470074,0.1242161889,0.2820368037
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.9118925097,0.0852794192,0.0028280711
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.586968499,0.4119458732,0.0010856277
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.572758416,0.4201825326,0.0070590515
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.5271205272,0.4046406615,0.0682388113
