condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,13.13,HIGH,0.9914628901,0.0076109846,0.0009261253
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,13.13,HIGH,0.9450313827,0.0544421651,0.0005264523
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,13.13,HIGH,0.9399108703,0.0566000719,0.0034890578
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,13.13,HIGH,0.9074382523,0.0571795155,0.0353822322
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,3,LOW,0.8115882707,0.0758990513,0.112512678
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,3,LOW,0.5603821657,0.3932870691,0.0463307652
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,3,LOW,0.4377250823,0.3211204384,0.2411544793
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,3,LOW,0.1323719376,0.1016144613,0.7660136012
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,3,LOW,0.9510113831,0.0197343847,0.0292542322
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,3,LOW,0.8517367045,0.1326380151,0.0156252804
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,3,LOW,0.7781943359,0.126675279,0.095130385
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,3,LOW,0.407436506,0.0693995766,0.5231639174
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,13.13,HIGH,0.9136982263,0.0854482883,0.0008534854
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,13.13,HIGH,0.5874141366,0.4122586303,0.000327233
