condition,label,constantFreq,constantLength,t_t,t_t_label,t_d1,t_d1_label,t_d2,t_d2_label,p_s_sub,p_s_basic,p_s_super
item33,basic,0.00000167,7.559444,0.4873333,LOW,0,MED,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.4873333,LOW,0,HIGH,0,MED,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,LOW,0,LOW,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,LOW,0,MED,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,LOW,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,MED,0,MED,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,HIGH,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,MED,0,LOW,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,HIGH,0,LOW,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,MED,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.8803017,MED,0,HIGH,0,MED,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,LOW,0,LOW,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,LOW,0,MED,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,LOW,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,MED,0,MED,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,HIGH,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,MED,0,LOW,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,HIGH,0,LOW,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,MED,0,HIGH,,,
item33,basic,0.00000167,7.559444,0.9730769,HIGH,0,HIGH,0,MED,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.616,LOW,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.616,LOW,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.616,LOW,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8160308,MED,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8823077,HIGH,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8160308,MED,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8823077,HIGH,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8160308,MED,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.5246154,LOW,0.8823077,HIGH,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.616,LOW,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.616,LOW,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.616,LOW,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8160308,MED,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8823077,HIGH,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8160308,MED,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8823077,HIGH,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8160308,MED,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.8244489,MED,0.8823077,HIGH,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.616,LOW,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.616,LOW,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.616,LOW,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8160308,MED,0.8028321,MED,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8823077,HIGH,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8160308,MED,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8823077,HIGH,0.515,LOW,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8160308,MED,0.9392308,HIGH,,,
item12,super,0.00000167,7.559444,0.957,HIGH,0.8823077,HIGH,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.8028321,MED,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.9392308,HIGH,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.9392308,HIGH,0.515,LOW,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.9392308,HIGH,,,
item22,super,0.00000167,7.559444,0.957,HIGH,0.9392308,HIGH,0.8028321,MED,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.515,LOW,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.8028321,MED,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.5246154,LOW,0.9392308,HIGH,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.515,LOW,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.8028321,MED,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.8244489,MED,0.9392308,HIGH,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.515,LOW,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.04304787,MED,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.9392308,HIGH,0.6188235,HIGH,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.9392308,HIGH,0.005,LOW,,,
item23,super,0.00000167,7.559444,0.957,HIGH,0.8028321,MED,0.6188235,HIGH,,,
