parameter,value,MCMCprob
alpha,4.306368904193905,0.00019999999999999985
lengthWeight,2.420125882090703,0.00019999999999999985
freqWeight,0.2931506731078056,0.00019999999999999985
typWeight,0.8654711849411418,0.00019999999999999985
alpha,4.306368904193905,0.0005999999999999994
lengthWeight,2.420125882090703,0.0005999999999999994
freqWeight,0.2931506731078056,0.0005999999999999994
typWeight,0.9857653829920965,0.0005999999999999994
alpha,4.306368904193905,0.0011999999999999988
lengthWeight,2.420125882090703,0.0011999999999999988
freqWeight,0.5272949462158866,0.0011999999999999988
typWeight,0.9857653829920965,0.0011999999999999988
alpha,4.306368904193905,0.0016
lengthWeight,2.420125882090703,0.0016
freqWeight,0.4229785223253635,0.0016
typWeight,0.9857653829920965,0.0016
alpha,4.790002678401853,0.005999999999999996
lengthWeight,2.420125882090703,0.005999999999999996
freqWeight,0.4229785223253635,0.005999999999999996
typWeight,0.9857653829920965,0.005999999999999996
alpha,4.790002678401853,0.0012999999999999993
lengthWeight,2.420125882090703,0.0012999999999999993
freqWeight,0.4229785223253635,0.0012999999999999993
typWeight,0.865850040729626,0.0012999999999999993
alpha,4.790002678401853,0.0008999999999999997
lengthWeight,2.782634239560899,0.0008999999999999997
freqWeight,0.4229785223253635,0.0008999999999999997
typWeight,0.865850040729626,0.0008999999999999997
alpha,4.790002678401853,0.0028000000000000013
lengthWeight,2.782634239560899,0.0028000000000000013
freqWeight,0.4119384848617671,0.0028000000000000013
typWeight,0.865850040729626,0.0028000000000000013
alpha,4.790002678401853,0.004600000000000001
lengthWeight,2.782634239560899,0.004600000000000001
freqWeight,0.14971313438595427,0.004600000000000001
typWeight,0.865850040729626,0.004600000000000001
alpha,4.790002678401853,0.0014000000000000006
lengthWeight,2.782634239560899,0.0014000000000000006
freqWeight,0.41780823989590377,0.0014000000000000006
typWeight,0.865850040729626,0.0014000000000000006
alpha,4.790002678401853,0.005199999999999997
lengthWeight,2.782634239560899,0.005199999999999997
freqWeight,0.41780823989590377,0.005199999999999997
typWeight,0.8529063826741766,0.005199999999999997
alpha,4.790002678401853,0.0032999999999999987
lengthWeight,2.782634239560899,0.0032999999999999987
freqWeight,0.41780823989590377,0.0032999999999999987
typWeight,0.865524709811039,0.0032999999999999987
alpha,4.790002678401853,0.0011999999999999988
lengthWeight,2.1138308231813356,0.0011999999999999988
freqWeight,0.41780823989590377,0.0011999999999999988
typWeight,0.865524709811039,0.0011999999999999988
alpha,4.790002678401853,0.0015000000000000002
lengthWeight,2.1138308231813356,0.0015000000000000002
freqWeight,0.41780823989590377,0.0015000000000000002
typWeight,0.9610693829917931,0.0015000000000000002
alpha,4.790002678401853,0.0028000000000000013
lengthWeight,2.1138308231813356,0.0028000000000000013
freqWeight,0.41780823989590377,0.0028000000000000013
typWeight,0.9901697695058203,0.0028000000000000013
alpha,4.790002678401853,0.0016999999999999997
lengthWeight,2.1138308231813356,0.0016999999999999997
freqWeight,0.41780823989590377,0.0016999999999999997
typWeight,0.9970093580102846,0.0016999999999999997
alpha,4.790002678401853,0.0005999999999999994
lengthWeight,2.1138308231813356,0.0005999999999999994
freqWeight,0.4214273606003699,0.0005999999999999994
