Utterance,condition,target,alt1,alt2,Probability,YMax,YMin
basic,item12,jellybeans,candycorn,popcorn,0.182053230150669,0.182053230150669,0.182053230150669
basic,item12,minivan,ambulance,sedan,0.0504462791653178,0.0504462791653178,0.0504462791653178
basic,item12,minivan,motorcycle,sedan,0.0599981878117553,0.0599981878117553,0.0599981878117553
basic,item12,minivan,sedan,train,0.0711948672147981,0.0711948672147981,0.0711948672147981
basic,item12,mnms,candycorn,chips,0.0977946303286872,0.0977946303286872,0.0977946303286872
basic,item12,mnms,candycorn,pretzels,0.0882055648571332,0.0882055648571332,0.0882055648571332
basic,item12,pandabear,bison,koalabear,0.139953287115943,0.139953287115943,0.139953287115943
basic,item12,pandabear,cow,koalabear,0.156631858209393,0.156631858209393,0.156631858209393
basic,item12,pandabear,elephant,koalabear,0.1487061700789,0.1487061700789,0.1487061700789
basic,item12,pandabear,kitten,koalabear,0.150112735809351,0.150112735809351,0.150112735809351
basic,item12,pandabear,koalabear,pig,0.153599238435914,0.153599238435914,0.153599238435914
basic,item12,pandabear,koalabear,rabbit,0.176325691784279,0.176325691784279,0.176325691784279
basic,item12,parrot,chick,sparrow,0.0242602247146306,0.0242602247146306,0.0242602247146306
basic,item12,parrot,elephant,sparrow,0.104734932474179,0.104734932474179,0.104734932474179
basic,item12,parrot,lobster,sparrow,0.0999899619639098,0.0999899619639098,0.0999899619639098
basic,item12,parrot,sparrow,squirrel,0.104869935358135,0.104869935358135,0.104869935358135
basic,item12,picnictable,bed,sidetable,0.113846194616863,0.113846194616863,0.113846194616863
basic,item12,picnictable,bookcase,sidetable,0.125498153665021,0.125498153665021,0.125498153665021
basic,item12,picnictable,sidetable,wardrobe,0.116302483064126,0.116302483064126,0.116302483064126
basic,item12,pigeon,chick,sparrow,0.0261260793157261,0.0261260793157261,0.0261260793157261
basic,item12,pigeon,crocodile,sparrow,0.113086480085141,0.113086480085141,0.113086480085141
basic,item12,pigeon,kitten,sparrow,0.120181524760327,0.120181524760327,0.120181524760327
basic,item12,pigeon,rabbit,sparrow,0.117431708690055,0.117431708690055,0.117431708690055
basic,item12,pigeon,sheep,sparrow,0.118310130934215,0.118310130934215,0.118310130934215
basic,item12,polarbear,bison,koalabear,0.382715610905184,0.382715610905184,0.382715610905184
basic,item12,polarbear,chick,koalabear,0.394053370029761,0.394053370029761,0.394053370029761
basic,item12,polarbear,cow,koalabear,0.397982443590282,0.397982443590282,0.397982443590282
basic,item12,polarbear,elephant,koalabear,0.394078880905358,0.394078880905358,0.394078880905358
basic,item12,polarbear,koalabear,pig,0.402882760476062,0.402882760476062,0.402882760476062
basic,item12,poloshirt,campshirt,dress,0.431871537287923,0.431871537287923,0.431871537287923
basic,item12,poloshirt,campshirt,gloves,0.428410167863834,0.428410167863834,0.428410167863834
basic,item12,pug,bison,greyhound,0.0769930722579239,0.0769930722579239,0.0769930722579239
basic,item12,pug,greyhound,lion,0.0900126436427118,0.0900126436427118,0.0900126436427118
basic,item12,pug,greyhound,lobster,0.0786116242696659,0.0786116242696659,0.0786116242696659
basic,item12,pug,greyhound,rabbit,0.0814957674006995,0.0814957674006995,0.0814957674006995
basic,item12,pug,greyhound,sheep,0.0720550353981204,0.0720550353981204,0.0720550353981204
basic,item12,pug,greyhound,squirrel,0.0782949308091543,0.0782949308091543,0.0782949308091543
basic,item12,rose,grasses,lily,0.0291967905840246,0.0291967905840246,0.0291967905840246
basic,item12,rose,ivy,lily,0.0399573664019882,0.0399573664019882,0.0399573664019882
basic,item12,rose,lily,pottedplant,0.0222319496949959,0.0222319496949959,0.0222319496949959
basic,item12,rose,lily,rosemary,0.027721743736152,0.027721743736152,0.027721743736152
basic,item12,skittles,candycorn,chips,0.103207903458045,0.103207903458045,0.103207903458045
basic,item12,skittles,candycorn,cookies,0.0650477655652527,0.0650477655652527,0.0650477655652527
basic,item12,skittles,candycorn,popcorn,0.0865797789593732,0.0865797789593732,0.0865797789593732
basic,item12,skittles,candycorn,pretzels,0.0878703203476025,0.0878703203476025,0.0878703203476025
basic,item12,sportscar,ambulance,sedan,0.171869330410916,0.171869330410916,0.171869330410916
basic,item12,sportscar,firetruck,sedan,0.20736019103174,0.20736019103174,0.20736019103174
basic,item12,sportscar,motorcycle,sedan,0.263006280138594,0.263006280138594,0.263006280138594
basic,item12,sportscar,sedan,train,0.255492171912899,0.255492171912899,0.255492171912899
basic,item12,sunflower,grasses,lily,0.122689798357974,0.122689798357974,0.122689798357974
basic,item12,sunflower,ivy,lily,0.129295400107445,0.129295400107445,0.129295400107445
basic,item12,sunflower,lily,rosemary,0.118642036262895,0.118642036262895,0.118642036262895
basic,item12,suv,ambulance,sedan,0.0528918371340288,0.0528918371340288,0.0528918371340288
basic,item12,suv,firetruck,sedan,0.0536919808365885,0.0536919808365885,0.0536919808365885
basic,item12,suv,motorcycle,sedan,0.0572734433986287,0.0572734433986287,0.0572734433986287
basic,item12,suv,sedan,train,0.0636476766830821,0.0636476766830821,0.0636476766830821
basic,item12,swordfish,cow,discusfish,0.171085678791286,0.171085678791286,0.171085678791286
basic,item12,swordfish,discusfish,iguana,0.164547511325958,0.164547511325958,0.164547511325958
basic,item12,swordfish,discusfish,rhino,0.15559961431383,0.15559961431383,0.15559961431383
basic,item12,swordfish,discusfish,sheep,0.169440941330431,0.169440941330431,0.169440941330431
basic,item12,tshirt,bathrobe,campshirt,0.230467872381353,0.230467872381353,0.230467872381353
basic,item12,tshirt,campshirt,dress,0.255391741125422,0.255391741125422,0.255391741125422
basic,item12,tshirt,campshirt,socks,0.250363224163776,0.250363224163776,0.250363224163776
basic,item12,tulip,grasses,lily,0.171266398789788,0.171266398789788,0.171266398789788
