"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half"
"82","4041-d",1479400115352,19,"carrot","informative","carrot_purple","target",2,2,"carrot_orange","distractor",4,4,"apple_red","distractor",3,3,1,1,0,"purple","","1479400113747","purple","True","False","carrot","purple",0.08,"atypical",TRUE,"purple",FALSE,FALSE,"color",1,0,0,0,0,0,"carrot",1
"83","4041-d",1479400120519,20,"pear","overinformative-cc","pear_green","target",2,3,"pepper_orange","distractor",3,4,"cup_green","distractor",4,2,1,1,0,"pear","","1479400119112","pear","False","True","pear","green",0.869583333333333,"typical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",1
"84","4041-d",1479400125608,21,"pepper","overinformative-cc","pepper_red","target",3,3,"apple_blue","distractor",4,2,"cup_red","distractor",2,4,1,1,0,"pepper","","1479400124377","pepper","False","True","pepper","red",0.938846153846154,"typical",FALSE,"pepper",TRUE,FALSE,"type",0,0,1,0,0,0,"pepper",1
"85","4041-d",1479400136602,22,"pear","informative","pear_yellow","target",2,4,"pepper_red","distractor",3,3,"pear_green","distractor",4,2,1,1,0,"yellow pear","","1479400134614","yellow pear","True","True","pear","yellow",0.766923076923077,"typical",TRUE,"yellow pear",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pear",1
"86","4041-d",1479400143248,23,"carrot","overinformative-cc","carrot_pink","target",2,3,"apple_red","distractor",4,4,"cup_pink","distractor",3,2,1,1,0,"purple carrot","","1479400141858","purple carrot","False","True","carrot","pink",0.0828571428571429,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1
"87","4041-d",1479400148256,24,"banana","overinformative","banana_blue","target",4,4,"avocado_green","distractor",3,2,"avocado_red","distractor",2,3,1,1,0,"banana","","1479400146718","banana","False","True","banana","blue",0.0219230769230769,"atypical",FALSE,"bananaa",TRUE,FALSE,"type",0,0,1,0,0,0,"banana",1
"88","4041-d",1479400153456,25,"apple","informative","apple_green","target",4,3,"banana_yellow","distractor",2,2,"apple_red","distractor",3,4,1,1,0,"green","","1479400152135","green","True","False","apple","green",0.8672,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",1
"89","4041-d",1479400158554,26,"apple","overinformative","apple_green","target",2,3,"carrot_purple","distractor",3,2,"pepper_red","distractor",4,4,1,1,0,"green","","1479400157100","green","True","False","apple","green",0.8672,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",1
"90","4041-d",1479400164416,27,"apple","overinformative-cc","apple_green","target",4,2,"cup_green","distractor",2,4,"tomato_red","distractor",3,3,1,1,0,"apple","","1479400162558","apple","False","True","apple","green",0.8672,"typical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"apple",1
"91","4041-d",1479400170136,28,"banana","overinformative-cc","banana_blue","target",2,2,"cup_blue","distractor",3,4,"tomato_pink","distractor",4,3,1,1,0,"banana","","1479400168741","banana","False","True","banana","blue",0.0219230769230769,"atypical",FALSE,"bananaa",TRUE,FALSE,"type",0,0,1,0,0,0,"banana",2
