BDAFullColor,BDASize,condition,OtherColor,Item
blue,size,size44,green,binder
blue,size,color44,orange,cushion
green,size,color43,pink,framee
red,size,size41,blue,candle
orange,size,color22,purple,coathanger
blue,size,color43,black,book
purple,size,color33,blue,rug
red,size,color41,blue,tack
blue,size,size21,green,guitar
red,size,size32,pink,bucket
purple,size,color31,red,yarn
white,size,color42,pink,weddingcake
red,size,color22,purple,bike
purple,size,size31,green,rock
yellow,size,size32,white,shoe
blue,size,size44,purple,rug
purple,size,color31,green,rock
pink,size,size21,green,framee
purple,size,color41,blue,butterfly
green,size,size33,blue,guitar
orange,size,color42,yellow,napkin
yellow,size,color43,white,shoe
pink,size,size33,white,weddingcake
purple,size,size41,red,bike
green,size,color44,purple,bracelet
blue,size,size22,purple,ornament
pink,size,size44,red,bucket
black,size,size31,blue,book
blue,size,color22,red,tack
blue,size,color31,pink,golfball
brown,size,color32,black,turtle
orange,size,color22,blue,cushion
blue,size,size41,red,candle
orange,size,size42,purple,billiardball
pink,size,size32,purple,hairdryer
black,size,color32,blue,comb
black,size,size43,green,avocado
purple,size,color43,red,stapler
white,size,color33,pink,teacup
purple,size,color33,orange,coathanger
black,size,size31,brown,belt
pink,size,color44,yellow,balloon
pink,size,size21,white,phone
black,size,color22,brown,turtle
pink,size,color41,blue,golfball
blue,size,color32,purple,ornament
green,size,size32,red,chair
pink,size,color44,white,teacup
green,size,size43,pink,framee
black,size,color31,blue,comb
orange,size,color41,purple,billiardball
brown,size,size33,black,belt
orange,size,color43,blue,cap
purple,size,size32,red,stapler
red,size,size21,purple,bike
purple,size,color32,red,flower
blue,size,size42,red,candle
purple,size,color21,green,rock
red,size,color31,purple,yarn
purple,size,size22,green,bracelet
blue,size,size41,green,binder
orange,size,size21,blue,cushion
white,size,color33,pink,phone
white,size,color22,yellow,shoe
red,size,color21,pink,bucket
black,size,color33,blue,book
purple,size,size43,blue,butterfly
brown,size,size42,green,jacket
white,size,size44,pink,phone
green,size,color32,red,chair
purple,size,size31,orange,coathanger
