"uttType","condition","NormedTypicality","target","empiricProb","ci.low","ci.high"
"typeOnly","overinformative",0.841,"orange_pepper",0.52,0.2,0.2
"typeOnly","overinformative",0.924,"yellow_pear",0.727272727272727,0.181818181818182,0.181818181818182
"typeOnly","overinformative",0.934,"red_pepper",0.222222222222222,0.166666666666667,0.166666666666667
"typeOnly","overinformative",0.953,"green_pear",0.695652173913043,0.173913043478261,0.173913043478261
"typeOnly","overinformative",0.953,"red_apple",0.6,0.2,0.2
"typeOnly","overinformative",0.961,"green_apple",0.4,0.2,0.16
"typeOnly","overinformative",0.962,"red_tomato",0.535714285714286,0.178571428571429,0.178571428571429
"typeOnly","overinformative",0.966,"green_avocado",0.5,0.227272727272727,0.227272727272727
"typeOnly","overinformative",0.976,"orange_carrot",0.789473684210526,0.210526315789474,0.157894736842105
"typeOnly","overinformative",0.979,"yellow_banana",0.766666666666667,0.166666666666667,0.133333333333333
"typeOnly","overinformative-cc",0.412,"pink_tomato",0.344827586206897,0.172413793103448,0.172413793103448
"typeOnly","overinformative-cc",0.419,"blue_banana",0.473684210526316,0.210526315789474,0.210526315789474
"typeOnly","overinformative-cc",0.462,"blue_apple",0.590909090909091,0.182954545454545,0.227272727272727
"typeOnly","overinformative-cc",0.503,"pink_carrot",0.478260869565217,0.217391304347826,0.217391304347826
"typeOnly","overinformative-cc",0.565,"brown_carrot",0.565217391304348,0.217391304347826,0.173913043478261
"typeOnly","overinformative-cc",0.637,"black_pepper",0.470588235294118,0.235294117647059,0.235294117647059
"typeOnly","overinformative-cc",0.657,"brown_banana",0.518518518518518,0.185185185185185,0.18611111111111
"typeOnly","overinformative-cc",0.686,"orange_pear",0.647058823529412,0.235294117647059,0.235294117647059
"typeOnly","overinformative-cc",0.696,"red_avocado",0.37037037037037,0.149074074074074,0.185185185185185
"typeOnly","overinformative-cc",0.738,"green_tomato",0.346153846153846,0.192307692307692,0.192307692307692
"typeOnly","overinformative-cc",0.812,"black_avocado",0.5,0.227272727272727,0.227272727272727
"typeOnly","overinformative-cc",0.841,"orange_pepper",0.3,0.2,0.2
"typeOnly","overinformative-cc",0.924,"yellow_pear",0.916666666666667,0.125,0.0833333333333334
"typeOnly","overinformative-cc",0.934,"red_pepper",0.653846153846154,0.192307692307692,0.192307692307692
"typeOnly","overinformative-cc",0.953,"green_pear",0.894736842105263,0.157894736842105,0.105263157894737
"typeOnly","overinformative-cc",0.953,"red_apple",0.619047619047619,0.190476190476191,0.191666666666666
"typeOnly","overinformative-cc",0.961,"green_apple",0.791666666666667,0.166666666666667,0.166666666666667
"typeOnly","overinformative-cc",0.962,"red_tomato",0.7,0.2,0.2
"typeOnly","overinformative-cc",0.966,"green_avocado",0.76,0.16,0.16
"typeOnly","overinformative-cc",0.976,"orange_carrot",0.678571428571429,0.178571428571429,0.178571428571428
"typeOnly","overinformative-cc",0.979,"yellow_banana",0.863636363636364,0.136363636363636,0.136363636363636
