gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
8258-f,1450000000000,61,subSuperTrial,distr22,poloShirt,target,4,2,shirt,clothing,socks,distrClass2,3,4,NA,clothing,gloves,distrClass2,2,3,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,poloShirt,NA,NA,,,,
2195-2,1450000000000,5,subSuperTrial,distr22,tShirt,target,2,4,shirt,clothing,socks,distrClass2,3,2,NA,clothing,gloves,distrClass2,4,3,NA,clothing,1,1,0,SHIRT,,1450000000000,SHIRT,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,tShirt,NA,NA,,,,
2195-2,1450000000000,28,subSuperTrial,distr22,dressShirt,target,2,4,shirt,clothing,socks,distrClass2,4,2,NA,clothing,gloves,distrClass2,3,3,NA,clothing,1,1,0,SHIRT,,1450000000000,SHIRT,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dressShirt,NA,NA,,,,
8258-f,1450000000000,19,subSuperTrial,distr22,dressShirt,target,3,2,shirt,clothing,dress,distrClass2,4,4,NA,clothing,gloves,distrClass2,2,3,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dressShirt,NA,NA,,,,
5934-3,1450000000000,41,subSuperTrial,distr22,dressShirt,target,2,4,shirt,clothing,dress,distrClass2,4,3,NA,clothing,gloves,distrClass2,3,2,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dressShirt,NA,NA,,,,
4842-f,1450000000000,19,subSuperTrial,distr22,hawaiiShirt,target,4,2,shirt,clothing,dress,distrClass2,3,4,NA,clothing,gloves,distrClass2,2,3,NA,clothing,1,1,0,cheesy taste in vaca clothes,,1450000000000,cheesy taste in vaca clothes,FALSE,FALSE,FALSE,TRUE,,FALSE,,,TRUE,,,,,hawaiiShirt,NA,NA,,,,
3695-5,1450000000000,34,subSuperTrial,distr22,poloShirt,target,2,4,shirt,clothing,dress,distrClass2,3,2,NA,clothing,gloves,distrClass2,4,3,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,poloShirt,NA,NA,,,,
2195-2,1450000000000,30,subSuperTrial,distr22,tulip,target,3,3,flower,plant,pottedPlant,distrClass2,2,2,NA,plant,grasses,distrClass2,4,4,NA,plant,1,1,0,ROSE,,1450000000000,ROSE,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tulip,NA,NA,,,,
5975-e,1450000000000,46,subSuperTrial,distr22,pandaBear,target,2,2,bear,animal,chick,distrClass2,3,4,NA,animal,horse,distrClass2,4,3,NA,animal,1,1,0,black and white,,1450000000000,black and white,FALSE,TRUE,FALSE,,,x,,,,,,,,pandaBear,NA,NA,,,,
8935-b,1450000000000,19,subSuperTrial,distr22,parrot,target,2,2,bird,animal,kitten,distrClass2,4,4,NA,animal,iguana,distrClass2,3,3,NA,animal,1,1,0,Rainbow,,1450000000000,Rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,parrot,NA,NA,,,,
