,gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,noLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,X,notes
186,9551-7,1450000000000,67,subSuperTrial,distr12,jellyBeans,target,2,3,candy,snack,chips,distrClass2,4,4,NA,snack,candyCorn,distrClass1,3,2,candy,snack,1,1,0,jellybeans,,1450000000000,jellybeans,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,jellyBeans,NA,NA,NA,NA,NA,
187,8430-f,1450000000000,41,subSuperTrial,distr12,mnMs,target,2,2,candy,snack,pretzels,distrClass2,3,3,NA,snack,candyCorn,distrClass1,4,4,candy,snack,1,1,0,m&ms,,1450000000000,m&ms,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,mnMs,NA,NA,NA,NA,NA,
188,8286-0,1450000000000,32,subSuperTrial,distr12,skittles,target,4,2,candy,snack,pretzels,distrClass2,3,4,NA,snack,candyCorn,distrClass1,2,3,candy,snack,1,1,0,skittle,,1450000000000,skittle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,skittles,NA,NA,NA,NA,NA,
189,5934-3,1450000000000,31,subSuperTrial,distr12,gummyBears,target,4,4,candy,snack,pretzels,distrClass2,2,2,NA,snack,candyCorn,distrClass1,3,3,candy,snack,3,2,1,i lost mine April 2014 and haven't gotten a new one yet___gummies,i'll live. lol i suppose! ,1449261430356___1449261439198___1449261441668,i lost mine April 2014 and haven't gotten a new one yet,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,gummyBears,NA,NA,NA,NA,NA,
190,6456-4,1450000000000,63,subSuperTrial,distr12,clownFish,target,3,4,fish,animal,horse,distrClass2,4,2,NA,animal,discusFish,distrClass1,2,3,fish,animal,1,1,0,clown fish,,1450000000000,clown fish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,clownFish,NA,NA,NA,NA,NA,
191,1223-7,1450000000000,19,subSuperTrial,distr12,swordFish,target,4,2,fish,animal,rhino,distrClass2,3,3,NA,animal,discusFish,distrClass1,2,4,fish,animal,1,1,0,swordfish,,1450000000000,swordfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,swordFish,NA,NA,NA,NA,NA,
192,3504-8,1450000000000,61,subSuperTrial,distr12,clownFish,target,2,4,fish,animal,squirrel,distrClass2,4,2,NA,animal,discusFish,distrClass1,3,3,fish,animal,1,1,0,fish with no green,,1450000000000,fish with no green,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,clownFish,NA,NA,NA,NA,NA,
193,0198-d,1450000000000,49,subSuperTrial,distr12,goldFish,target,2,4,fish,animal,squirrel,distrClass2,3,3,NA,animal,discusFish,distrClass1,4,2,fish,animal,1,1,0,goldfish,,1450000000000,goldfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,goldFish,NA,NA,NA,NA,NA,
194,1223-7,1450000000000,7,subSuperTrial,distr12,goldFish,target,3,2,fish,animal,cow,distrClass2,4,4,NA,animal,discusFish,distrClass1,2,3,fish,animal,1,1,0,The goldfish,,1450000000000,The goldfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,goldFish,NA,NA,NA,NA,NA,
196,5512-7,1450000000000,36,subSuperTrial,distr12,catfish,target,3,3,fish,animal,pig,distrClass2,2,4,NA,animal,discusFish,distrClass1,4,2,fish,animal,1,1,0,catfish,,1450000000000,catfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,catfish,NA,NA,NA,NA,NA,
197,3158-b,1450000000000,39,subSuperTrial,distr12,catfish,target,4,2,fish,animal,pig,distrClass2,3,3,NA,animal,discusFish,distrClass1,2,4,fish,animal,1,1,0,longer fish,,1450000000000,longer fish,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,catfish,NA,NA,NA,NA,NA,
198,2919-a,1450000000000,5,subSuperTrial,distr12,swordFish,target,4,3,fish,animal,rhino,distrClass2,3,4,NA,animal,discusFish,distrClass1,2,2,fish,animal,1,1,0,swordfish,,1450000000000,swordfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,swordFish,NA,NA,NA,NA,NA,
199,5239-5,1450000000000,14,subSuperTrial,distr12,swordFish,target,3,3,fish,animal,cow,distrClass2,2,2,NA,animal,discusFish,distrClass1,4,4,fish,animal,1,1,0,swordfish,,1450000000000,swordfish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,swordFish,NA,NA,NA,NA,NA,
200,3504-8,1450000000000,65,subSuperTrial,distr12,goldFish,target,4,4,fish,animal,horse,distrClass2,2,3,NA,animal,discusFish,distrClass1,3,2,fish,animal,1,1,0,smaller fish,,1450000000000,smaller fish,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,goldFish,NA,NA,NA,NA,NA,
203,8430-f,1450000000000,68,subSuperTrial,distr12,pug,target,4,3,dog,animal,lion,distrClass2,2,4,NA,animal,greyhound,distrClass1,3,2,dog,animal,2,2,0,dog___pug,,1449255440333___1449255442000,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pug,NA,NA,NA,NA,NA,
204,9807-5,1450000000000,36,subSuperTrial,distr12,husky,target,3,4,dog,animal,cow,distrClass2,2,3,NA,animal,greyhound,distrClass1,4,2,dog,animal,1,1,0,wolf like dog,,1450000000000,wolf like dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,husky,NA,NA,NA,NA,NA,
205,3293-5,1450000000000,4,subSuperTrial,distr12,pandaBear,target,3,2,bear,animal,bison,distrClass2,2,4,NA,animal,koalaBear,distrClass1,4,3,bear,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,pandaBear,NA,NA,NA,NA,NA,
206,9551-7,1450000000000,64,subSuperTrial,distr12,pandaBear,target,2,3,bear,animal,elephant,distrClass2,4,2,NA,animal,koalaBear,distrClass1,3,4,bear,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,pandaBear,NA,NA,NA,NA,NA,
207,9807-5,1450000000000,64,subSuperTrial,distr12,pandaBear,target,2,2,bear,animal,pig,distrClass2,3,4,NA,animal,koalaBear,distrClass1,4,3,bear,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pandaBear,NA,NA,NA,NA,NA,
209,5628-2,1450000000000,40,subSuperTrial,distr12,grizzlyBear,target,3,4,bear,animal,cow,distrClass2,2,2,NA,animal,koalaBear,distrClass1,4,3,bear,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,grizzlyBear,NA,NA,NA,NA,NA,
211,7830-a,1450000000000,31,subSuperTrial,distr12,grizzlyBear,target,3,3,bear,animal,snake,distrClass2,2,4,NA,animal,koalaBear,distrClass1,4,2,bear,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,grizzlyBear,NA,NA,NA,NA,NA,
213,8258-f,1450000000000,33,subSuperTrial,distr12,rose,target,2,3,flower,plant,pottedPlant,distrClass2,3,4,NA,plant,lily,distrClass1,4,2,flower,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,rose,NA,NA,NA,NA,NA,
214,2195-2,1450000000000,41,subSuperTrial,distr12,daisy,target,3,4,flower,plant,pottedPlant,distrClass2,2,3,NA,plant,lily,distrClass1,4,2,flower,plant,1,1,0,DAISY,,1450000000000,DAISY,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,daisy,NA,NA,NA,NA,NA,
215,5076-0,1450000000000,33,subSuperTrial,distr12,daisy,target,3,3,flower,plant,grasses,distrClass2,4,2,NA,plant,lily,distrClass1,2,4,flower,plant,1,1,0,Small white flower with yellow in the middle,,1450000000000,Small white flower with yellow in the middle,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,daisy,NA,NA,NA,NA,NA,
216,1223-7,1450000000000,67,subSuperTrial,distr12,rose,target,4,4,flower,plant,grasses,distrClass2,3,2,NA,plant,lily,distrClass1,2,3,flower,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,rose,NA,NA,NA,NA,NA,
217,6456-4,1450000000000,70,subSuperTrial,distr12,tulip,target,4,3,flower,plant,rosemary,distrClass2,2,4,NA,plant,lily,distrClass1,3,2,flower,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,tulip,NA,NA,NA,NA,NA,
218,6456-4,1450000000000,10,subSuperTrial,distr12,rose,target,2,4,flower,plant,pottedPlant,distrClass2,4,3,NA,plant,lily,distrClass1,3,2,flower,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,rose,NA,NA,NA,NA,NA,
219,3695-5,1450000000000,65,subSuperTrial,distr12,daisy,target,4,4,flower,plant,rosemary,distrClass2,3,2,NA,plant,lily,distrClass1,2,3,flower,plant,1,1,0,flower with yellow center,,1450000000000,flower with yellow center,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,daisy,NA,NA,NA,NA,NA,
220,5076-0,1450000000000,71,subSuperTrial,distr12,suv,target,2,2,car,vehicle,train,distrClass2,4,4,NA,vehicle,sedan,distrClass1,3,3,car,vehicle,1,1,0,SUV,,1450000000000,SUV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,suv,NA,NA,NA,NA,NA,
221,4393-a,1450000000000,56,subSuperTrial,distr12,sportsCar,target,4,4,car,vehicle,motorcycle,distrClass2,3,2,NA,vehicle,sedan,distrClass1,2,3,car,vehicle,1,1,0,Silver car facing to the right,,1450000000000,Silver car facing to the right,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,sportsCar,NA,NA,NA,NA,NA,
223,2919-a,1450000000000,71,subSuperTrial,distr12,suv,target,2,3,car,vehicle,train,distrClass2,3,2,NA,vehicle,sedan,distrClass1,4,4,car,vehicle,1,1,0,minivan,,1450000000000,minivan,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,suv,NA,NA,NA,NA,NA,
224,4452-5,1450000000000,40,subSuperTrial,distr12,diningTable,target,2,3,table,furniture,bed,distrClass2,4,4,NA,furniture,sideTable,distrClass1,3,2,table,furniture,2,2,0,table that's facing us___not angled,,1449254768249___1449254779905,table that's facing us,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,diningTable,NA,NA,NA,NA,NA,
226,3695-5,1450000000000,52,subSuperTrial,distr12,picnicTable,target,3,4,table,furniture,bed,distrClass2,2,3,NA,furniture,sideTable,distrClass1,4,2,table,furniture,1,1,0,picnic table,,1450000000000,picnic table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,picnicTable,NA,NA,NA,NA,NA,
228,3293-5,1450000000000,2,subSuperTrial,distr12,bedsideTable,target,4,4,table,furniture,wardrobe,distrClass2,3,3,NA,furniture,sideTable,distrClass1,2,2,table,furniture,1,1,0,dresser,,1450000000000,dresser,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,bedsideTable,NA,NA,NA,NA,NA,
229,5512-7,1450000000000,4,subSuperTrial,distr12,picnicTable,target,4,3,table,furniture,bookcase,distrClass2,2,2,NA,furniture,sideTable,distrClass1,3,4,table,furniture,1,1,0,picnic table,,1450000000000,picnic table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,picnicTable,NA,NA,NA,NA,NA,
231,5239-5,1450000000000,28,subSuperTrial,distr12,coffeeTable,target,2,2,table,furniture,wardrobe,distrClass2,3,3,NA,furniture,sideTable,distrClass1,4,4,table,furniture,5,4,1,coffee table___small one___short and stout___yes,the table with a shelf underneath?,1449258207744___1449258210968___1449258229073___1449258229217___1449258232575,coffee table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,coffeeTable,NA,NA,NA,NA,NA,
232,3504-8,1450000000000,62,subSuperTrial,distr12,eagle,target,3,4,bird,animal,bison,distrClass2,2,2,NA,animal,sparrow,distrClass1,4,3,bird,animal,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,eagle,NA,NA,NA,NA,NA,
233,3695-5,1450000000000,50,subSuperTrial,distr12,parrot,target,4,3,bird,animal,chick,distrClass2,2,2,NA,animal,sparrow,distrClass1,3,4,bird,animal,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,parrot,NA,NA,NA,NA,NA,
234,6456-4,1450000000000,45,subSuperTrial,distr12,pigeon,target,3,2,bird,animal,chick,distrClass2,2,4,NA,animal,sparrow,distrClass1,4,3,bird,animal,1,1,0,white bird,,1450000000000,white bird,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pigeon,NA,NA,NA,NA,NA,
235,9807-5,1450000000000,63,subSuperTrial,distr12,pigeon,target,2,4,bird,animal,rabbit,distrClass2,4,2,NA,animal,sparrow,distrClass1,3,3,bird,animal,1,1,0,bird looking left,,1450000000000,bird looking left,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pigeon,NA,NA,NA,NA,NA,
236,8430-f,1450000000000,69,subSuperTrial,distr12,eagle,target,3,3,bird,animal,cow,distrClass2,2,2,NA,animal,sparrow,distrClass1,4,4,bird,animal,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,eagle,NA,NA,NA,NA,NA,
237,3158-b,1450000000000,16,subSuperTrial,distr12,pigeon,target,4,2,bird,animal,rabbit,distrClass2,3,3,NA,animal,sparrow,distrClass1,2,4,bird,animal,1,1,0,bigger bird,,1450000000000,bigger bird,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pigeon,NA,NA,NA,NA,NA,
238,5512-7,1450000000000,35,subSuperTrial,distr12,pigeon,target,2,3,bird,animal,sheep,distrClass2,4,4,NA,animal,sparrow,distrClass1,3,2,bird,animal,1,1,0,pigeon,,1450000000000,pigeon,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,pigeon,NA,NA,NA,NA,NA,
239,5975-e,1450000000000,7,subSuperTrial,distr12,hummingBird,target,2,2,bird,animal,squirrel,distrClass2,3,4,NA,animal,sparrow,distrClass1,4,3,bird,animal,1,1,0,wings with green on bottom,,1450000000000,wings with green on bottom,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,x,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,hummingBird,NA,NA,NA,NA,NA,
240,9551-7,1450000000000,30,subSuperTrial,distr22,minivan,target,2,2,car,vehicle,motorcycle,distrClass2,3,3,NA,vehicle,ambulance,distrClass2,4,4,NA,vehicle,1,1,0,minivan,,1450000000000,minivan,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,minivan,NA,NA,NA,NA,NA,
241,8684-3,1450000000000,28,subSuperTrial,distr22,sportsCar,target,3,2,car,vehicle,train,distrClass2,2,4,NA,vehicle,ambulance,distrClass2,4,3,NA,vehicle,1,1,0,sports car,,1450000000000,sports car,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,sportsCar,NA,NA,NA,NA,NA,
242,9551-7,1450000000000,46,subSuperTrial,distr22,suv,target,3,2,car,vehicle,train,distrClass2,2,3,NA,vehicle,ambulance,distrClass2,4,4,NA,vehicle,1,1,0,suv,,1450000000000,suv,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,suv,NA,NA,NA,NA,NA,
243,5076-0,1450000000000,65,subSuperTrial,distr22,minivan,target,4,3,car,vehicle,train,distrClass2,2,4,NA,vehicle,ambulance,distrClass2,3,2,NA,vehicle,1,1,0,Mini-van,,1450000000000,Mini-van,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,minivan,NA,NA,NA,NA,NA,
244,5076-0,1450000000000,5,subSuperTrial,distr22,tShirt,target,4,2,shirt,clothing,gloves,distrClass2,3,4,NA,clothing,bathrobe,distrClass2,2,3,NA,clothing,1,1,0,It has short sleeves,,1450000000000,It has short sleeves,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,x,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,tShirt,NA,NA,NA,NA,NA,
245,5934-3,1450000000000,5,subSuperTrial,distr22,tShirt,target,3,2,shirt,clothing,socks,distrClass2,2,4,NA,clothing,bathrobe,distrClass2,4,3,NA,clothing,1,1,0,the t-shirt,,1450000000000,the t-shirt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,tShirt,NA,NA,NA,NA,NA,
246,1223-7,1450000000000,8,subSuperTrial,distr22,picnicTable,target,4,3,table,furniture,lamp,distrClass2,3,2,NA,furniture,bed,distrClass2,2,4,NA,furniture,1,1,0,The picnic table,,1450000000000,The picnic table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,picnicTable,NA,NA,NA,NA,NA,
247,9551-7,1450000000000,55,subSuperTrial,distr22,diningTable,target,2,4,table,furniture,bookcase,distrClass2,4,2,NA,furniture,bed,distrClass2,3,3,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,diningTable,NA,NA,NA,NA,NA,
248,4393-a,1450000000000,71,subSuperTrial,distr22,pug,target,3,3,dog,animal,rhino,distrClass2,2,4,NA,animal,bison,distrClass2,4,2,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pug,NA,NA,NA,NA,NA,
249,5628-2,1450000000000,42,subSuperTrial,distr22,pug,target,3,3,dog,animal,crocodile,distrClass2,4,4,NA,animal,bison,distrClass2,2,2,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,pug,NA,NA,NA,NA,NA,
250,6456-4,1450000000000,11,subSuperTrial,distr22,catfish,target,2,2,fish,animal,elephant,distrClass2,3,4,NA,animal,bison,distrClass2,4,3,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,catfish,NA,NA,NA,NA,NA,
251,8430-f,1450000000000,17,subSuperTrial,distr22,hummingBird,target,2,2,bird,animal,horse,distrClass2,3,4,NA,animal,bison,distrClass2,4,3,NA,animal,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,hummingBird,NA,NA,NA,NA,NA,
252,8286-0,1450000000000,31,subSuperTrial,distr22,hawaiiShirt,target,2,2,shirt,clothing,dress,distrClass2,4,3,NA,clothing,bathrobe,distrClass2,3,4,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,hawaiiShirt,NA,NA,NA,NA,NA,
254,3158-b,1450000000000,68,subSuperTrial,distr22,picnicTable,target,2,3,table,furniture,wardrobe,distrClass2,4,4,NA,furniture,bed,distrClass2,3,2,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,picnicTable,NA,NA,NA,NA,NA,
255,8258-f,1450000000000,13,subSuperTrial,distr22,coffeeTable,target,2,2,table,furniture,bookcase,distrClass2,4,3,NA,furniture,bed,distrClass2,3,4,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,coffeeTable,NA,NA,NA,NA,NA,
256,5512-7,1450000000000,56,subSuperTrial,distr22,bedsideTable,target,4,3,table,furniture,wardrobe,distrClass2,2,2,NA,furniture,bed,distrClass2,3,4,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,bedsideTable,NA,NA,NA,NA,NA,
257,8684-3,1450000000000,40,subSuperTrial,distr22,goldFish,target,4,4,fish,animal,sheep,distrClass2,3,3,NA,animal,bison,distrClass2,2,2,NA,animal,2,2,0,me too___swims,,1449255088649___1449255091801,me too,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,x,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,goldFish,NA,NA,NA,NA,NA,
258,8286-0,1450000000000,22,subSuperTrial,distr22,minivan,target,4,3,car,vehicle,motorcycle,distrClass2,3,2,NA,vehicle,ambulance,distrClass2,2,4,NA,vehicle,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,minivan,NA,NA,NA,NA,NA,
259,6456-4,1450000000000,46,subSuperTrial,distr22,poloShirt,target,3,3,shirt,clothing,socks,distrClass2,2,2,NA,clothing,bathrobe,distrClass2,4,4,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,poloShirt,NA,NA,NA,NA,NA,
260,8286-0,1450000000000,14,subSuperTrial,distr22,coffeeTable,target,2,2,table,furniture,bookcase,distrClass2,4,3,NA,furniture,bed,distrClass2,3,4,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,coffeeTable,NA,NA,NA,NA,NA,
261,3504-8,1450000000000,9,subSuperTrial,distr22,bedsideTable,target,3,4,table,furniture,lamp,distrClass2,2,2,NA,furniture,bed,distrClass2,4,3,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,bedsideTable,NA,NA,NA,NA,NA,
263,8286-0,1450000000000,17,subSuperTrial,distr22,swordFish,target,2,4,fish,animal,horse,distrClass2,3,2,NA,animal,bison,distrClass2,4,3,NA,animal,1,1,0,shark,,1450000000000,shark,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,swordFish,NA,NA,NA,NA,NA,
265,2919-a,1450000000000,39,subSuperTrial,distr22,blackBear,target,4,3,bear,animal,kitten,distrClass2,2,4,NA,animal,chick,distrClass2,3,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,blackBear,NA,NA,NA,NA,NA,
266,0198-d,1450000000000,61,subSuperTrial,distr22,polarBear,target,2,2,bear,animal,squirrel,distrClass2,4,4,NA,animal,chick,distrClass2,3,3,NA,animal,1,1,0,polar bear,,1450000000000,polar bear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,polarBear,NA,NA,NA,NA,NA,
267,7111-e,1450000000000,54,subSuperTrial,distr22,skittles,target,2,4,candy,snack,pretzels,distrClass2,4,3,NA,snack,chips,distrClass2,3,2,NA,snack,1,1,0,rainbow,,1450000000000,rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,x,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,skittles,NA,NA,NA,NA,NA,
