Utterance	condition	target	MAP	credHigh	credLow	EmpProportion	EmpYMin	EmpYMax	ModelType
sub	item12	coffeetable	0.799848464386161	0.799848464386161	0.799848464386161	0.5	0.2	0.8	det-nocost
sub	item12	convertible	0.800750249041276	0.800750249041276	0.800750249041276	0.571428571428571	0.142857142857143	0.857142857142857	det-nocost
sub	item12	daisy	0.800750249041276	0.800750249041276	0.800750249041276	1	1	1	det-nocost
sub	item12	dalmatian	0.799014910761188	0.799014910761188	0.799014910761188	0.875	0.625	1	det-nocost
sub	item12	diningtable	0.799014910761188	0.799014910761188	0.799014910761188	0	0	0	det-nocost
sub	item12	eagle	0.800750249041276	0.800750249041276	0.800750249041276	0.933333333333333	0.8	1	det-nocost
sub	item12	germanshepherd	0.801564351573854	0.801564351573854	0.801564351573854	0.631578947368421	0.368421052631579	0.842105263157895	det-nocost
sub	item12	goldfish	0.802092506347166	0.802092506347166	0.802092506347166	0.777777777777778	0.611111111111111	0.944444444444444	det-nocost
sub	item12	grizzlybear	0.799014910761188	0.799014910761188	0.799014910761188	0.15	0	0.35	det-nocost
sub	item12	gummybears	0.800750249041276	0.800750249041276	0.800750249041276	1	1	1	det-nocost
sub	item12	hawaiishirt	0.799848464386161	0.799848464386161	0.799848464386161	0.466666666666667	0.2	0.733333333333333	det-nocost
sub	item12	hummingbird	0.797537009812688	0.797537009812688	0.797537009812688	0.857142857142857	0.642857142857143	1	det-nocost
sub	item12	husky	0.801564351573854	0.801564351573854	0.801564351573854	0.8	0.65	0.95	det-nocost
sub	item12	jellybeans	0.799848464386161	0.799848464386161	0.799848464386161	0.916666666666667	0.75	1	det-nocost
sub	item12	minivan	0.799848464386161	0.799848464386161	0.799848464386161	0.75	0.5	1	det-nocost
sub	item12	mnms	0.799014910761188	0.799014910761188	0.799014910761188	1	1	1	det-nocost
sub	item12	pandabear	0.801564351573854	0.801564351573854	0.801564351573854	0.923076923076923	0.769230769230769	1	det-nocost
sub	item12	parrot	0.797363374335347	0.797363374335347	0.797363374335347	0.846153846153846	0.615384615384615	1	det-nocost
sub	item12	picnictable	0.799848464386161	0.799848464386161	0.799848464386161	1	1	1	det-nocost
sub	item12	pigeon	0.798510229557566	0.798510229557566	0.798510229557566	0.7	0.4	1	det-nocost
sub	item12	polarbear	0.800964573719091	0.800964573719091	0.800964573719091	0.842105263157895	0.684210526315789	1	det-nocost
sub	item12	poloshirt	0.799014910761188	0.799014910761188	0.799014910761188	0.533333333333333	0.266666666666667	0.733333333333333	det-nocost
sub	item12	pug	0.801564351573854	0.801564351573854	0.801564351573854	0.909090909090909	0.727272727272727	1	det-nocost
sub	item12	rose	0.800750249041276	0.800750249041276	0.800750249041276	1	1	1	det-nocost
sub	item12	skittles	0.800750249041276	0.800750249041276	0.800750249041276	1	1	1	det-nocost
sub	item12	sportscar	0.845976221485247	0.845976221485247	0.845976221485247	0.166666666666667	0	0.5	det-nocost
sub	item12	sunflower	0.799848464386161	0.799848464386161	0.799848464386161	0.333333333333333	0	0.666666666666667	det-nocost
sub	item12	suv	0.800750249041276	0.800750249041276	0.800750249041276	0.666666666666667	0.333333333333333	1	det-nocost
sub	item12	swordfish	0.800750249041276	0.800750249041276	0.800750249041276	0.875	0.6875	1	det-nocost
sub	item12	tshirt	0.799848464386161	0.799848464386161	0.799848464386161	0.5	0.166666666666667	0.833333333333333	det-nocost
sub	item12	tulip	0.799848464386161	0.799848464386161	0.799848464386161	0.6	0.2	1	det-nocost
sub	item22	bedsidetable	0.483772957566396	0.483772957566396	0.483772957566396	0.875	0.625	1	det-nocost
sub	item22	blackbear	0.484009144315144	0.484009144315144	0.484009144315144	0.285714285714286	0.0714285714285714	0.5	det-nocost
