"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"1515"	"7734-1"	1455303890682	45	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"chips"	"distractor"	4	4	NA	"snack"	"candyCorn"	"distractor"	2	3	"candy"	"snack"	"jelly ?"	""	"1455303888161"	"jelly ?"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1555"	"0422-5"	1455303645634	58	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"rosemary"	"distractor"	4	2	NA	"plant"	"lobster"	"distractor"	3	3	NA	"animal"	"jelly beans"	""	"1455303643405"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1567"	"8837-a"	1455303266947	6	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"cookies"	"distractor"	2	4	NA	"snack"	"rabbit"	"distractor"	4	3	NA	"animal"	"jelly beans"	""	"1455303264895"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1605"	"1625-9"	1455304392123	50	"subSuperTrial"	"basic22"	"jellyBeans"	"target"	4	2	"candy"	"snack"	"pretzels"	"distractor"	2	3	NA	"snack"	"chips"	"distractor"	3	4	NA	"snack"	"jelly beans"	""	"1455304390379"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1622"	"0244-4"	1455303756602	4	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"bathrobe"	"distractor"	3	2	NA	"clothing"	"chips"	"distractor"	2	4	NA	"snack"	"jelly beans"	""	"1455303752064"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1720"	"4509-7"	1455304937454	58	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"cookies"	"distractor"	2	4	NA	"snack"	"candyCorn"	"distractor"	4	3	"candy"	"snack"	"jelly beans"	""	"1455304935469"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1750"	"5699-7"	1455305934439	50	"subSuperTrial"	"basic22"	"jellyBeans"	"target"	4	2	"candy"	"snack"	"popcorn"	"distractor"	2	3	NA	"snack"	"cookies"	"distractor"	3	4	NA	"snack"	"jelly benas___*beans"	""	"1455305932079___1455305934806"	"jelly benas"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1784"	"7960-f"	1455304137423	41	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	3	3	"candy"	"snack"	"bison"	"distractor"	4	2	NA	"animal"	"train"	"distractor"	2	4	NA	"vehicle"	"jelly beans"	""	"1455304134981"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1802"	"6625-1"	1455305750049	5	"subSuperTrial"	"basic22"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"popcorn"	"distractor"	2	2	NA	"snack"	"cookies"	"distractor"	3	4	NA	"snack"	"jellybeans"	""	"1455305748139"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1885"	"4123-8"	1455306505925	27	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	3	"candy"	"snack"	"candyCorn"	"distractor"	2	4	"candy"	"snack"	"popcorn"	"distractor"	4	2	NA	"snack"	"jelly___beans"	""	"1455306504883___1455306506616"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1997"	"6517-b"	1455307269132	54	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	2	3	"candy"	"snack"	"popcorn"	"distractor"	3	4	NA	"snack"	"socks"	"distractor"	4	2	NA	"clothing"	"jelly"	""	"1455307267971"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2011"	"3188-4"	1455304053656	7	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	3	"candy"	"snack"	"cookies"	"distractor"	4	4	NA	"snack"	"candyCorn"	"distractor"	2	2	"candy"	"snack"	"jelly beans"	""	"1455304052105"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2061"	"8883-2"	1455308867262	36	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	4	2	"candy"	"snack"	"chips"	"distractor"	3	3	NA	"snack"	"snake"	"distractor"	2	4	NA	"animal"	"jellybeans"	""	"1455308866290"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2133"	"0189-3"	1455315839080	32	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	2	2	"candy"	"snack"	"iguana"	"distractor"	3	4	NA	"animal"	"cookies"	"distractor"	4	3	NA	"snack"	"jelly beans"	""	"1455315837832"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
