gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
1362,3747-d,1455302574175,29,subSuperTrial,basic23,diningTable,target,3,3,table,furniture,lamp,distractor,4,4,NA,furniture,dress,distractor,2,2,NA,clothing,table,,1455302572966,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1388,2785-6,1455302611430,12,subSuperTrial,basic33,diningTable,target,4,3,table,furniture,ambulance,distractor,3,4,NA,vehicle,ivy,distractor,2,2,NA,plant,table,,1455302609508,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1400,2785-6,1455302773429,34,subSuperTrial,basic33,coffeeTable,target,3,4,table,furniture,chips,distractor,2,3,NA,snack,train,distractor,4,2,NA,vehicle,table,,1455302772344,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1405,2785-6,1455302863565,45,subSuperTrial,basic23,picnicTable,target,3,3,table,furniture,pig,distractor,2,4,NA,animal,bookcase,distractor,4,2,NA,furniture,table,,1455302861857,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1436,1448-1,1455302830473,28,subSuperTrial,basic22,diningTable,target,2,2,table,furniture,bed,distractor,3,3,NA,furniture,wardrobe,distractor,4,4,NA,furniture,Table,,1455302828919,Table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1459,2719-8,1455302709969,8,subSuperTrial,basic23,diningTable,target,3,2,table,furniture,elephant,distractor,2,4,NA,animal,bed,distractor,4,3,NA,furniture,table,,1455302708248,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1471,2719-8,1455302860082,29,subSuperTrial,basic22,coffeeTable,target,3,4,table,furniture,lamp,distractor,2,2,NA,furniture,bookcase,distractor,4,3,NA,furniture,table,,1455302858344,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1476,2719-8,1455302935684,41,subSuperTrial,basic22,bedsideTable,target,3,4,table,furniture,lamp,distractor,2,2,NA,furniture,bed,distractor,4,3,NA,furniture,table,,1455302933973,table,bedsideTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1482,2719-8,1455302987373,51,subSuperTrial,basic33,picnicTable,target,3,4,table,furniture,hamster,distractor,4,2,NA,animal,dress,distractor,2,3,NA,clothing,table,,1455302986063,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1561,0422-5,1455303720623,68,subSuperTrial,basic22,diningTable,target,4,4,table,furniture,wardrobe,distractor,3,2,NA,furniture,bed,distractor,2,3,NA,furniture,table,,1455303719139,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
