"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"138"	"8691-5"	1455301015717	8	"subSuperTrial"	"basic22"	"gummyBears"	"target"	3	2	"candy"	"snack"	"chips"	"distractor"	4	4	NA	"snack"	"pretzels"	"distractor"	2	3	NA	"snack"	"gummi bears"	""	"1455301014386"	"gummi bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"8691-5"	1455301035983	11	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"popcorn"	"distractor"	4	2	NA	"snack"	"candyCorn"	"distractor"	3	3	"candy"	"snack"	"jelly beans"	""	"1455301034488"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"8691-5"	1455301049312	13	"subSuperTrial"	"basic33"	"mnMs"	"target"	4	4	"candy"	"snack"	"ambulance"	"distractor"	2	2	NA	"vehicle"	"hamster"	"distractor"	3	3	NA	"animal"	"m&ms"	""	"1455301047806"	"m&ms"	"mnMs"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"8691-5"	1455301082273	18	"subSuperTrial"	"basic23"	"picnicTable"	"target"	4	4	"table"	"furniture"	"lobster"	"distractor"	3	3	NA	"animal"	"lamp"	"distractor"	2	2	NA	"furniture"	"picnic table"	""	"1455301080848"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"152"	"8691-5"	1455301186902	37	"subSuperTrial"	"basic22"	"pigeon"	"target"	3	2	"bird"	"animal"	"crocodile"	"distractor"	4	4	NA	"animal"	"cow"	"distractor"	2	3	NA	"animal"	"pidgeon"	""	"1455301185382"	"pidgeon"	"pigeon"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"155"	"8691-5"	1455301225207	45	"subSuperTrial"	"basic22"	"eagle"	"target"	3	3	"bird"	"animal"	"squirrel"	"distractor"	2	4	NA	"animal"	"horse"	"distractor"	4	2	NA	"animal"	"eagle"	""	"1455301223779"	"eagle"	"eagle"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"156"	"8691-5"	1455301229678	46	"subSuperTrial"	"basic12"	"daisy"	"target"	4	3	"flower"	"plant"	"lily"	"distractor"	2	2	"flower"	"plant"	"grasses"	"distractor"	3	4	NA	"plant"	"daisy"	""	"1455301228358"	"daisy"	"daisy"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"164"	"8691-5"	1455301320022	62	"subSuperTrial"	"basic23"	"tulip"	"target"	4	2	"flower"	"plant"	"ivy"	"distractor"	3	3	NA	"plant"	"lamp"	"distractor"	2	4	NA	"furniture"	"tulip"	""	"1455301318660"	"tulip"	"tulip"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"169"	"8691-5"	1455301361103	69	"subSuperTrial"	"basic33"	"skittles"	"target"	2	2	"candy"	"snack"	"pottedPlant"	"distractor"	3	4	NA	"plant"	"gloves"	"distractor"	4	3	NA	"clothing"	"skittles"	""	"1455301359395"	"skittles"	"skittles"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"8691-5"	1455301375429	72	"subSuperTrial"	"basic12"	"parrot"	"target"	2	4	"bird"	"animal"	"lobster"	"distractor"	4	3	NA	"animal"	"sparrow"	"distractor"	3	2	"bird"	"animal"	"parrot"	""	"1455301373684"	"parrot"	"parrot"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
