gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
1152,1984-6,1455302282987,62,subSuperTrial,basic33,daisy,target,3,4,flower,plant,firetruck,distractor,2,2,NA,vehicle,socks,distractor,4,3,NA,clothing,flower,,1455302281826,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1153,1984-6,1455302287862,63,subSuperTrial,basic22,sunflower,target,3,3,flower,plant,rosemary,distractor,2,4,NA,plant,ivy,distractor,4,2,NA,plant,flower,,1455302287125,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1211,9617-1,1455302305210,16,subSuperTrial,basic12,tulip,target,4,2,flower,plant,grasses,distractor,2,4,NA,plant,lily,distractor,3,3,flower,plant,Red flower,,1455302303003,Red flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1230,9617-1,1455302565582,55,subSuperTrial,basic22,sunflower,target,3,2,flower,plant,rosemary,distractor,4,4,NA,plant,grasses,distractor,2,3,NA,plant,Yellow flower,,1455302564211,Yellow flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1237,9617-1,1455302648094,67,subSuperTrial,basic33,daisy,target,4,2,flower,plant,train,distractor,2,4,NA,vehicle,gloves,distractor,3,3,NA,clothing,Flower,,1455302646930,Flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1333,0585-7,1455302648564,46,subSuperTrial,basic33,sunflower,target,2,3,flower,plant,bison,distractor,4,4,NA,animal,ambulance,distractor,3,2,NA,vehicle,flower,,1455302647340,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1455,1448-1,1455303107560,71,subSuperTrial,basic23,daisy,target,4,4,flower,plant,ambulance,distractor,3,2,NA,vehicle,grasses,distractor,2,3,NA,plant,flower,,1455303106118,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1456,2719-8,1455302674268,2,subSuperTrial,basic23,daisy,target,2,2,flower,plant,elephant,distractor,3,4,NA,animal,pottedPlant,distractor,4,3,NA,plant,flower,,1455302672065,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1479,2719-8,1455302969080,47,subSuperTrial,basic23,tulip,target,4,3,flower,plant,firetruck,distractor,3,2,NA,vehicle,ivy,distractor,2,4,NA,plant,flower,,1455302967775,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1481,2719-8,1455302981813,50,subSuperTrial,basic33,rose,target,4,4,flower,plant,kitten,distractor,2,3,NA,animal,ambulance,distractor,3,2,NA,vehicle,flowre,,1455302980503,flowre,rose,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
