nameClickedObj,condition,DistractorCombo
mnms,distr23,popcorn socks
eagle,distr23,sheep socks
sportscar,distr23,firetruck squirrel
goldfish,distr23,pottedPlant squirrel
suv,distr23,bison train
dalmatian,distr23,rhino train
polarbear,distr23,snake train
sportscar,distr23,dress train
skittles,distr23,popcorn train
tulip,distr23,grasses wardrobe
mnms,distr23,chips wardrobe
mnms,distr23,cookies wardrobe
dalmatian,distr33,ambulance bed
swordfish,distr33,ambulance bathrobe
parrot,distr33,ambulance bed
husky,distr33,ambulance motorcycle
tshirt,distr33,ambulance pig
husky,distr33,bathrobe pretzels
clownfish,distr33,bed train
poloshirt,distr33,bison squirrel
gummybears,distr33,ambulance cow
swordfish,distr33,ambulance bookcase
catfish,distr33,ambulance bed
dalmatian,distr33,bed cookies
blackbear,distr33,bed pottedPlant
mnms,distr33,bison gloves
tulip,distr33,bison cookies
catfish,distr33,bathrobe wardrobe
suv,distr33,bed sheep
picnictable,distr33,chick sheep
diningtable,distr33,chips iguana
dressshirt,distr33,chick cookies
pug,distr33,cookies popcorn
dressshirt,distr33,cookies rhino
suv,distr33,cookies snake
tulip,distr33,cow crocodile
suv,distr33,dress popcorn
bedsidetable,distr33,crocodile elephant
mnms,distr33,elephant rosemary
rose,distr33,elephant wardrobe
minivan,distr33,gloves kitten
bedsidetable,distr33,cookies horse
dressshirt,distr33,horse lamp
jellybeans,distr33,ambulance iguana
sportscar,distr33,iguana rosemary
hawaiishirt,distr33,firetruck kitten
eagle,distr33,motorcycle rosemary
poloshirt,distr33,pig pretzels
catfish,distr33,dress pretzels
hummingbird,distr33,pretzels pretzels
diningtable,distr33,firetruck rabbit
rose,distr33,chick rhino
mnms,distr33,chick rhino
convertible,distr33,crocodile rosemary
bedsidetable,distr33,rabbit sheep
husky,distr33,socks wardrobe
goldfish,distr33,grasses train
husky,distr33,motorcycle wardrobe
catfish,distr33,popcorn wardrobe
pug,distr33,pretzels wardrobe
husky,distr33,bookcase motorcycle
grizzlybear,distr33,bookcase train
rose,distr33,bison chick
blackbear,distr33,ambulance chips
sunflower,distr33,cookies gloves
